student_id,age,gender,study_hours_per_day,social_media_hours,netflix_hours,part_time_job,attendance_percentage,sleep_hours,diet_quality,exercise_frequency,parental_education_level,internet_quality,mental_health_rating,extracurricular_participation,exam_score
S1054,23.0,Female,3.1,1.9,2.6,Yes,64.0,7.1,Fair,5.0,High School,Good,10.0,No,0
S1540,23.0,Female,4.0,3.0,3.0,No,83.2,7.7,Good,3.0,Bachelor,Average,6.0,Yes,0
S1463,17.0,Male,2.5,4.2,1.9,Yes,88.1,4.8,Fair,1.0,Master,Good,1.0,No,0
S1224,18.0,Female,4.6,2.5,3.0,No,87.7,6.7,Fair,5.0,Bachelor,Poor,6.0,No,0
S1652,unknown,Female,5.9,4.6,0.9,No,96.9,5.4,Good,4.0,Bachelor,Average,10.0,No,0
S1764,21.0,Male,6.6,2.6,1.5,No,84.7,7.9,Fair,1.0,Master,Poor,2.0,No,0
S1526,19.0,Female,2.8,3.1,4.5,No,95.9,6.3,Fair,2.0,,Good,3.0,No,0
S1623,18.0,Female,4.6,1.2,0.5,No,92.8,8.2,Good,4.0,Master,Good,4.0,No,0
S1273,24.0,Male,2.6,2.3,1.7,No,85.6,5.7,Fair,1.0,Bachelor,Good,1.0,Yes,0
S1181,23.0,Male,3.5,3.0,1.5,Yes,79.1,5.5,Good,0.0,Bachelor,Average,9.0,No,0
S1632,21.0,Male,3.3,2.0,2.1,No,87.7,6.8,Poor,1.0,Bachelor,Poor,9.0,Yes,0
S1150,19.0,Male,3.5,2.1,0.5,Yes,84.8,6.1,Good,4.0,Bachelor,Average,2.0,No,0
S1858,unknown,Male,4.5,2.0,1.2,Yes,82.2,6.3,Fair,5.0,High School,Good,5.0,Yes,0
S1131,21.0,Female,7.2,3.7,0.0,No,100.0,7.8,Good,6.0,High School,Good,9.0,No,0
,,,,,,,,,,,,,,,0
S1286,17.0,Female,2.7,2.9,1.7,No,82.8,6.4,Fair,4.0,Master,Average,1.0,No,0
S1588,20.0,Other,3.8,3.0,3.4,No,76.4,7.8,Fair,1.0,High School,Average,2.0,No,0
,,,varies,,,,,,,,,,,,0
S1631,20.0,Female,3.7,1.8,1.3,No,91.9,6.3,Fair,6.0,Master,Good,10.0,No,0
S1798,unknown,Female,5.1,3.9,3.0,No,79.3,7.2,Good,1.0,Bachelor,Average,10.0,No,0
S1529,18.0,Female,3.1,3.2,1.6,No,84.8,7.5,Fair,6.0,Master,Good,1.0,No,0
S1548,18.0,Female,3.3,2.1,2.3,No,61.2,7.3,Poor,6.0,High School,Poor,3.0,No,0
S1820,23.0,Male,2.0,2.8,3.3,No,90.7,6.9,Fair,1.0,Master,Poor,5.0,No,0
S1541,18.0,Female,4.2,3.8,3.4,Yes,84.8,5.4,Good,2.0,High School,Good,5.0,No,0
S1761,18.0,Female,4.6,3.4,2.0,No,77.5,7.9,Good,0.0,Bachelor,Good,1.0,Yes,0
S1834,17.0,Other,4.0,1.4,0.0,Yes,100.0,6.5,Fair,2.0,High School,Poor,6.0,Yes,0
S1093,22.0,Male,4.1,2.5,3.0,No,85.1,5.8,Good,4.0,,Good,5.0,No,0
S1536,24.0,Male,2.0,3.8,1.2,No,81.3,6.7,Good,1.0,Bachelor,Good,7.0,Yes,0
S1720,18.0,Female,4.9,0.0,2.1,Yes,95.1,5.0,Good,3.0,Bachelor,Average,5.0,No,0
S1893,21.0,Female,3.0,1.6,2.0,No,98.6,6.0,Good,5.0,Bachelor,Good,2.0,No,0
,,,,,,,,,,,,,,,0
S1753,18.0,Male,varies,3.4,0.9,No,83.3,5.7,Fair,1.0,Master,Good,2.0,No,0
S1909,22.0,Female,4.9,3.3,3.0,No,79.5,7.0,Fair,5.0,Bachelor,Average,1.0,No,0
S1781,19.0,Female,2.9,1.9,3.2,No,82.4,6.4,Fair,4.0,Bachelor,Good,6.0,No,0
S1950,unknown,Female,2.7,1.1,3.1,No,77.6,4.7,Fair,5.0,High School,Average,2.0,No,0
S1907,19.0,Female,3.3,2.5,2.1,No,63.8,5.5,Fair,1.0,High School,Average,3.0,No,0
S1783,20.0,Male,3.0,2.3,0.0,No,66.0,7.5,Good,2.0,High School,Good,9.0,No,0
S1326,19.0,Male,1.4,2.0,3.5,No,87.7,6.3,Fair,1.0,Bachelor,Good,8.0,No,0
S1775,21.0,Male,1.2,4.3,2.2,No,74.6,8.2,Fair,2.0,Bachelor,Average,4.0,No,0
S1512,23.0,Female,2.9,2.8,0.5,No,88.2,3.8,Good,5.0,,Poor,2.0,Yes,0
S1390,unknown,Female,3.3,0.6,1.2,Yes,79.8,5.9,Good,2.0,High School,Good,10.0,No,0
S1852,21.0,Male,2.3,1.0,0.7,No,67.5,5.2,Good,6.0,Bachelor,Good,9.0,No,0
S1428,17.0,Female,2.3,1.5,3.2,No,83.1,8.2,Good,1.0,High School,Average,3.0,No,0
S1573,18.0,Male,3.0,1.4,2.0,No,83.6,8.2,Fair,5.0,Bachelor,Good,3.0,No,0
S1267,24.0,Female,1.8,2.4,3.3,Yes,92.7,8.7,Fair,3.0,Bachelor,Good,10.0,No,0
S1819,17.0,Male,4.1,2.7,0.6,No,74.6,3.6,Fair,0.0,Bachelor,Good,3.0,No,0
S1437,24.0,Female,6.6,2.8,2.9,No,84.3,8.0,Good,1.0,,Good,8.0,No,0
S1446,19.0,Male,3.7,1.8,0.9,Yes,75.9,5.9,Fair,1.0,High School,Average,1.0,No,0
